"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"30724","BV Cens","CENS à NANTES / 04146950","pH_insitu",2006-06-21 12:40:00,6.85,"Méthode inconnue liquide"
"31170","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2008-06-17 13:45:00,6.7,"Méthode inconnue liquide"
"31171","BV Cens","CENS à NANTES / 04146950","Phosphates",2008-06-17 13:45:00,0.36,"Méthode inconnue liquide"
"31172","BV Cens","CENS à NANTES / 04146950","Phosphore total",2008-06-17 13:45:00,0.13,"Méthode inconnue liquide"
"31173","BV Cens","CENS à NANTES / 04146950","Nitrates",2008-06-17 13:45:00,8.1,"Méthode inconnue liquide"
"31174","BV Cens","CENS à NANTES / 04146950","Nitrites",2008-06-17 13:45:00,0.1,"Méthode inconnue liquide"
"31175","BV Cens","CENS à NANTES / 04146950","Chlorures",2008-06-17 13:45:00,29,"Méthode inconnue liquide"
"31176","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2008-06-17 13:45:00,0.27,"Méthode inconnue liquide"
"31177","BV Cens","CENS à NANTES / 04146950","DCO sur échantillon homogène",2008-06-17 13:45:00,21,"Méthode inconnue liquide"
"31178","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2008-06-17 13:45:00,1.1,"Méthode inconnue liquide"
"31179","BV Cens","CENS à NANTES / 04146950","O2_insitu",2008-06-17 13:45:00,4.97,"Méthode inconnue liquide"
"31180","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2008-06-17 13:45:00,275,"Méthode inconnue liquide"
"31181","BV Cens","CENS à NANTES / 04146950","pH_insitu",2008-06-17 13:45:00,7.3,"Méthode inconnue liquide"
"31182","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2012-02-29 13:25:00,7,"Méthode inconnue liquide"
"31183","BV Cens","CENS à NANTES / 04146950","Phosphates",2012-02-29 13:25:00,0.21,"Méthode inconnue liquide"
"31184","BV Cens","CENS à NANTES / 04146950","Phosphore total",2012-02-29 13:25:00,0.13,"Méthode inconnue liquide"
"31185","BV Cens","CENS à NANTES / 04146950","Nitrates",2012-02-29 13:25:00,10.5,"Méthode inconnue liquide"
