"","Site","Station","Parametre"
"250","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Co_f0.45um"
"251","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Cu_f0.45um"
"252","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Fe_f0.45um"
"253","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","K_f0.45um"
"254","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Li_f0.45um"
"255","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Mg_f0.45um"
"256","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Mn_f0.45um"
"257","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Na_f0.45um"
"258","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ni_f0.45um"
"259","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","P_f0.45um"
"260","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Sr_f0.45um"
"261","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Zn_f0.45um"
"262","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Si_f0.45um"
"263","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","B"
"264","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ba"
"265","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ca"
"266","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Co"
"267","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Cu"
"268","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Fe"
"269","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","K"
"270","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Li"
"271","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Mg"
"272","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Mn"
"273","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Na"
"274","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ni"
"275","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Phosphore total"
"276","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Sr"
"277","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Zn"
"278","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","B_f0.45um"
"279","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ba_f0.45um"
"280","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ca_f0.45um"
"281","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Co_f0.45um"
"282","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Cu_f0.45um"
"283","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Fe_f0.45um"
"284","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","K_f0.45um"
"285","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Li_f0.45um"
"286","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Mg_f0.45um"
"287","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Mn_f0.45um"
"288","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Na_f0.45um"
"289","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ni_f0.45um"
"290","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","P_f0.45um"
"291","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Sr_f0.45um"
"292","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Zn_f0.45um"
"293","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Si_f0.45um"
"294","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","B"
