"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"63","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 11:15:00,17.398,"Chromatographie ionique"
"64","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 11:15:00,0.084,"Chromatographie ionique"
"65","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 11:15:00,64,"ICP-OES-1"
"66","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 11:15:00,118,"Spectrophotométrie (DCO)"
"67","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 11:15:00,7.5,"Potentiométrie (pH)"
"68","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 11:15:00,272,"Electrométrie (conductivité)"
"69","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 11:45:00,290,"Electrométrie (conductivité)"
"70","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 11:45:00,7.38,"Potentiométrie (pH)"
"71","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 11:45:00,132,"Spectrophotométrie (DCO)"
"72","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 11:45:00,62,"ICP-OES-1"
"73","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 11:45:00,0.099,"Chromatographie ionique"
"74","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 11:45:00,18.429,"Chromatographie ionique"
"75","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 11:45:00,NA,"Chromatographie ionique"
"76","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 12:15:00,NA,"Chromatographie ionique"
"77","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 12:15:00,17.319,"Chromatographie ionique"
"78","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 12:15:00,0.08,"Chromatographie ionique"
"79","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 12:15:00,72,"ICP-OES-1"
"80","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 12:15:00,123,"Spectrophotométrie (DCO)"
"81","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 12:15:00,7.36,"Potentiométrie (pH)"
"82","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 12:15:00,265,"Electrométrie (conductivité)"
"83","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 12:45:00,NA,"Chromatographie ionique"
"84","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 12:45:00,2.746,"Chromatographie ionique"
"85","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 12:45:00,NA,"Chromatographie ionique"
"86","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 12:45:00,194,"ICP-OES-1"
"87","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 12:45:00,196,"Spectrophotométrie (DCO)"
"88","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 12:45:00,7.25,"Potentiométrie (pH)"
"89","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 12:45:00,237,"Electrométrie (conductivité)"
"90","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 13:15:00,375,"Electrométrie (conductivité)"
"91","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 13:15:00,7.31,"Potentiométrie (pH)"
"92","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 13:45:00,384,"Electrométrie (conductivité)"
"93","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 13:45:00,7.39,"Potentiométrie (pH)"
"94","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 13:45:00,118,"Spectrophotométrie (DCO)"
"95","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 13:45:00,54,"ICP-OES-1"
"96","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 13:45:00,NA,"Chromatographie ionique"
"97","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 13:45:00,3.25,"Chromatographie ionique"
"98","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 13:45:00,NA,"Chromatographie ionique"
"99","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 14:15:00,409,"Electrométrie (conductivité)"
"100","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 14:15:00,7.41,"Potentiométrie (pH)"
"101","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 14:15:00,120,"Spectrophotométrie (DCO)"
"102","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 14:15:00,44,"ICP-OES-1"
"103","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 14:15:00,NA,"Chromatographie ionique"
"104","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 14:15:00,3.188,"Chromatographie ionique"
"105","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 14:15:00,NA,"Chromatographie ionique"
"106","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 14:45:00,452,"Electrométrie (conductivité)"
"107","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 14:45:00,7.37,"Potentiométrie (pH)"
"108","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 14:45:00,186,"Spectrophotométrie (DCO)"
"109","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 14:45:00,74,"ICP-OES-1"
"110","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 14:45:00,0.166,"Chromatographie ionique"
"111","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 14:45:00,28.174,"Chromatographie ionique"
"112","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 14:45:00,NA,"Chromatographie ionique"
"113","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 15:00:00,NA,"Chromatographie ionique"
"114","BV Pin Sec","PZCS / PIN-SEC_0009","Sr",2014-10-23 12:00:00,0.062,"ICP-OES-1"
"115","BV Pin Sec","PZCS / PIN-SEC_0009","Phosphore total",2014-10-23 12:00:00,0.165,"ICP-OES-1"
"116","BV Pin Sec","PZCS / PIN-SEC_0009","Ni",2014-10-23 12:00:00,31,"ICP-OES-1"
"117","BV Pin Sec","PZCS / PIN-SEC_0009","Na",2014-10-23 12:00:00,57.546,"ICP-OES-1"
"118","BV Pin Sec","PZCS / PIN-SEC_0009","Mn",2014-10-23 12:00:00,2.214,"ICP-OES-1"
"119","BV Pin Sec","PZCS / PIN-SEC_0009","Mg",2014-10-23 12:00:00,7.572,"ICP-OES-1"
"120","BV Pin Sec","PZCS / PIN-SEC_0009","Li",2014-10-23 12:00:00,0.064,"ICP-OES-1"
"121","BV Pin Sec","PZCS / PIN-SEC_0009","K",2014-10-23 12:00:00,8.934,"ICP-OES-1"
"122","BV Pin Sec","PZCS / PIN-SEC_0009","Fe",2014-10-23 12:00:00,1.135,"ICP-OES-1"
"123","BV Pin Sec","PZCS / PIN-SEC_0009","Cu",2014-10-23 12:00:00,0.01,"ICP-OES-1"
