"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3556","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","V_f0.45um",2013-09-16 00:00:00,4.19,"ICP-MS 2008/2016"
"3557","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Zn_f0.45um",2013-09-16 00:00:00,55,"ICP-MS 2008/2016"
"3558","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mn",2013-09-16 00:00:00,0.001,"ICP-OES-1"
"3559","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mo",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3560","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Na",2013-09-16 00:00:00,7.546,"ICP-OES-1"
"3561","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ni",2013-09-16 00:00:00,2.19,"ICP-MS 2008/2016"
"3562","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Phosphore total",2013-09-16 00:00:00,0.257,"ICP-OES-1"
"3563","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Pb",2013-09-16 00:00:00,0.62,"ICP-MS 2008/2016"
"3564","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Sr",2013-09-16 00:00:00,0.097,"ICP-OES-1"
"3565","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ti",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3566","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","V",2013-09-16 00:00:00,4.19,"ICP-MS 2008/2016"
"3567","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Zn",2013-09-16 00:00:00,58.7,"ICP-MS 2008/2016"
"3568","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Al_f0.45um",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3660","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","As_f0.45um",2013-09-16 00:00:00,6.25,"ICP-MS 2008/2016"
"3686","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Zn",2015-09-28 12:00:00,11.5,"ICP-OES-1"
"3687","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","V",2015-09-28 12:00:00,0.696,"ICP-MS 2008/2016"
"3688","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ti",2015-09-28 12:00:00,0.005,"ICP-OES-1"
"3689","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Sr",2015-09-28 12:00:00,0.164,"ICP-OES-1"
"3690","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pb",2015-09-28 12:00:00,1.345,"ICP-MS 2008/2016"
"3691","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Phosphore total",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3692","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ni",2015-09-28 12:00:00,1.563,"ICP-MS 2008/2016"
"3693","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Na",2015-09-28 12:00:00,12.892,"ICP-OES-1"
"3694","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mo",2015-09-28 12:00:00,0.002,"ICP-OES-1"
"3695","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mn",2015-09-28 12:00:00,0.391,"ICP-OES-1"
"3696","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mg",2015-09-28 12:00:00,6.958,"ICP-OES-1"
"3697","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","K",2015-09-28 12:00:00,10.819,"ICP-OES-1"
"3698","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Fe",2015-09-28 12:00:00,0.709,"ICP-OES-1"
"3699","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cu",2015-09-28 12:00:00,2.243,"ICP-MS 2008/2016"
"3700","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cr",2015-09-28 12:00:00,0.671,"ICP-MS 2008/2016"
"3701","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Co",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3702","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cd",2015-09-28 12:00:00,NA,"ICP-MS 2008/2016"
"3703","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ca",2015-09-28 12:00:00,48.352,"ICP-OES-1"
"3704","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ba",2015-09-28 12:00:00,0.055,"ICP-OES-1"
"3705","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","As",2015-09-28 12:00:00,4.599,"ICP-1"
"3706","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Al",2015-09-28 12:00:00,0.167,"ICP-OES-1"
"3707","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pt_f0.45um",2015-09-28 12:00:00,NA,"ICP-MS 2008/2016"
"3708","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Zn_f0.45um",2015-09-28 12:00:00,5.1,"ICP-OES-1"
"3709","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","V_f0.45um",2015-09-28 12:00:00,0.178,"ICP-MS 2008/2016"
"3710","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ti_f0.45um",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3711","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Sr_f0.45um",2015-09-28 12:00:00,0.165,"ICP-OES-1"
"3712","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pb_f0.45um",2015-09-28 12:00:00,NA,"ICP-MS 2008/2016"
"3713","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","P_f0.45um",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3714","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ni_f0.45um",2015-09-28 12:00:00,1.098,"ICP-MS 2008/2016"
"3715","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Na_f0.45um",2015-09-28 12:00:00,12.875,"ICP-OES-1"
"3716","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mo_f0.45um",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3717","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mn_f0.45um",2015-09-28 12:00:00,0.017,"ICP-OES-1"
"3718","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mg_f0.45um",2015-09-28 12:00:00,6.93,"ICP-OES-1"
