"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"34375","Prairie de Mauves","Puits 2 / PDM_0017","O2_insitu",2016-01-12 08:40:00,4.05,"Électrochimie"
"34376","Prairie de Mauves","Puits 2 / PDM_0017","Eh_corr_insitu",2016-01-12 08:40:00,426.7,"Potentiométrie"
"34377","Prairie de Mauves","Puits 3 / PDM_0018","Eh_corr_insitu",2016-01-12 09:35:00,388,"Potentiométrie"
"34378","Prairie de Mauves","Puits 3 / PDM_0018","O2_insitu",2016-01-12 09:35:00,6.6,"Électrochimie"
"34379","Prairie de Mauves","Puits 3 / PDM_0018","pH_insitu",2016-01-12 09:35:00,6.82,"Potentiométrie (pH)"
"34380","Prairie de Mauves","Puits 3 / PDM_0018","EC_25C_insitu",2016-01-12 09:35:00,420,"Electrométrie (conductivité)"
"34381","Prairie de Mauves","Puits 3 / PDM_0018","T_insitu",2016-01-12 09:35:00,10.1,"Thermométrie"
"34382","Prairie de Mauves","Puits 5 / PDM_0020","Eh_corr_insitu",2016-01-12 10:10:00,362.9,"Potentiométrie"
"34383","Prairie de Mauves","Puits 5 / PDM_0020","O2_insitu",2016-01-12 10:10:00,7.4,"Électrochimie"
"34384","Prairie de Mauves","Puits 5 / PDM_0020","pH_insitu",2016-01-12 10:10:00,7.27,"Potentiométrie (pH)"
"34385","Prairie de Mauves","Puits 5 / PDM_0020","EC_25C_insitu",2016-01-12 10:10:00,727,"Electrométrie (conductivité)"
"34386","Prairie de Mauves","Puits 5 / PDM_0020","T_insitu",2016-01-12 10:10:00,13.1,"Thermométrie"
"34387","Prairie de Mauves","PZ5 / PDM_0005","Eh_corr_insitu",2016-01-12 16:05:00,159.7,"Potentiométrie"
"34388","Prairie de Mauves","PZ5 / PDM_0005","O2_insitu",2016-01-12 16:05:00,2.87,"Électrochimie"
