"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2633","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,0.51,"Extraction CaCl2 + ICP-OES"
"2634","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.49,"Extraction CaCl2 + ICP-OES"
"2635","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,3.33,"Extraction CaCl2 + ICP-OES"
"2636","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,4.72,"Extraction CaCl2 + ICP-OES"
"2637","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.14,"Extraction CaCl2 + ICP-OES"
"2638","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.41,"Extraction CaCl2 + ICP-MS"
"2639","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1,"Extraction CaCl2 + ICP-MS"
"2640","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ba_CaCl2",2014-04-28 12:00:00,0.18,"Extraction CaCl2 + ICP-OES"
"2641","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.15,"Extraction CaCl2 + ICP-MS"
"2642","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Al_CaCl2",2014-04-28 12:00:00,0.11,"Extraction CaCl2 + ICP-OES"
"2643","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,127.1,"Extraction CaCl2 + ICP-MS"
"2644","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-MS"
"2645","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,9.23,"Extraction CaCl2 + ICP-MS"
"2646","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,0.46,"Extraction CaCl2 + ICP-OES"
"2647","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.44,"Extraction CaCl2 + ICP-OES"
"2648","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,3.26,"Extraction CaCl2 + ICP-OES"
"2649","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,4.4,"Extraction CaCl2 + ICP-OES"
"2650","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.15,"Extraction CaCl2 + ICP-OES"
"2651","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.33,"Extraction CaCl2 + ICP-MS"
"2652","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,0.98,"Extraction CaCl2 + ICP-MS"
"2653","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.07,"Extraction CaCl2 + ICP-MS"
"2654","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,173.6,"Extraction CaCl2 + ICP-MS"
"2655","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.28,"Extraction CaCl2 + ICP-MS"
"2656","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.34,"Extraction CaCl2 + ICP-MS"
"2657","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.02,"Extraction CaCl2 + ICP-OES"
"2658","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.15,"Extraction CaCl2 + ICP-MS"
"2659","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,20.92,"Extraction CaCl2 + ICP-MS"
"2660","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,1.64,"Extraction CaCl2 + ICP-OES"
"2661","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.15,"Extraction CaCl2 + ICP-OES"
"2662","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,9.26,"Extraction CaCl2 + ICP-OES"
"2663","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,8.88,"Extraction CaCl2 + ICP-OES"
"2664","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Fe_CaCl2",2014-04-28 12:00:00,NA,"Extraction CaCl2 + ICP-OES"
"2665","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,183.5,"Extraction CaCl2 + ICP-MS"
"2666","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Co_CaCl2",2014-04-28 12:00:00,NA,"Extraction CaCl2 + ICP-OES"
"2667","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.29,"Extraction CaCl2 + ICP-MS"
"2668","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ba_CaCl2",2014-04-28 12:00:00,0.27,"Extraction CaCl2 + ICP-OES"
"2669","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,1.98,"Extraction CaCl2 + ICP-MS"
"2670","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Al_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-OES"
"2671","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,162.1,"Extraction CaCl2 + ICP-MS"
"2672","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.42,"Extraction CaCl2 + ICP-MS"
