"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"29147","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ti_f0.45um",2016-06-14 13:40:00,NA,"ICP-OES-1"
"29148","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","V_f0.45um",2016-06-14 13:40:00,0.863,"ICP-MS 2008/2016"
"29149","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Zn_f0.45um",2016-06-14 13:40:00,30,"ICP-1"
"29150","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pt_f0.45um",2016-06-14 13:40:00,NA,"ICP-MS 2008/2016"
"29151","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Al",2016-06-14 13:40:00,0.513,"ICP-OES-1"
"29152","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","As",2016-06-14 13:40:00,21.1,"ICP-1"
"29153","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ba",2016-06-14 13:40:00,0.045,"ICP-OES-1"
"29154","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ca",2016-06-14 13:40:00,52.901,"ICP-OES-1"
"29155","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cd",2016-06-14 13:40:00,0.109,"ICP-MS 2008/2016"
"29156","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Co",2016-06-14 13:40:00,0.003,"ICP-OES-1"
"29157","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cr",2016-06-14 13:40:00,1.396,"ICP-MS 2008/2016"
"29158","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cu",2016-06-14 13:40:00,14.641,"ICP-MS 2008/2016"
"29159","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Fe",2016-06-14 13:40:00,1.842,"ICP-OES-1"
"29160","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","K",2016-06-14 13:40:00,5.75,"ICP-OES-1"
"29161","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mg",2016-06-14 13:40:00,13.227,"ICP-OES-1"
"29162","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mn",2016-06-14 13:40:00,0.197,"ICP-OES-1"
"29163","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mo",2016-06-14 13:40:00,0.03,"ICP-OES-1"
"29164","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Na",2016-06-14 13:40:00,47.346,"ICP-OES-1"
"29165","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ni",2016-06-14 13:40:00,8.199,"ICP-MS 2008/2016"
"29166","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Phosphore total",2016-06-14 13:40:00,0.115,"ICP-OES-1"
"29167","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pb",2016-06-14 13:40:00,2.526,"ICP-MS 2008/2016"
"29168","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Sr",2016-06-14 13:40:00,0.199,"ICP-OES-1"
"29169","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ti",2016-06-14 13:40:00,0.01,"ICP-OES-1"
"29170","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","V",2016-06-14 13:40:00,3.572,"ICP-MS 2008/2016"
"29171","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Zn",2016-06-14 13:40:00,62.6,"ICP-1"
"29172","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pt",2016-06-14 13:40:00,NA,"ICP-MS 2008/2016"
"29173","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Al_F0.45um",2016-06-14 13:40:00,1.612,"ICP-OES-1"
"29174","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","As_F0.45um",2016-06-14 13:40:00,9.865,"ICP-1"
"29175","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ba_F0.45um",2016-06-14 13:40:00,0.014,"ICP-OES-1"
"29176","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ca_F0.45um",2016-06-14 13:40:00,0.633,"ICP-OES-1"
"29177","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cd_F0.45um",2016-06-14 13:40:00,NA,"ICP-MS 2008/2016"
"29178","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Co_F0.45um",2016-06-14 13:40:00,0.002,"ICP-OES-1"
