"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"33",3828,"Agglomération Nantaise","AN_003","Ti",2015-09-28 11:15:00,0.004,"ICP-OES-1"
"34",3829,"Agglomération Nantaise","AN_003","Sr",2015-09-28 11:15:00,0.157,"ICP-OES-1"
"35",3830,"Agglomération Nantaise","AN_003","Pb",2015-09-28 11:15:00,0.645,"ICP-MS 2008/2016"
"36",3832,"Agglomération Nantaise","AN_003","Ni",2015-09-28 11:15:00,3.48,"ICP-MS 2008/2016"
"37",3839,"Agglomération Nantaise","AN_003","Cu",2015-09-28 11:15:00,2.803,"ICP-MS 2008/2016"
"38",3840,"Agglomération Nantaise","AN_003","Cr",2015-09-28 11:15:00,1.009,"ICP-MS 2008/2016"
"39",3845,"Agglomération Nantaise","AN_003","As",2015-09-28 11:15:00,182,"ICP-1"
"40",3848,"Agglomération Nantaise","AN_003","Zn_f0.45um",2015-09-28 11:15:00,7.4,"ICP-OES-1"
"41",3849,"Agglomération Nantaise","AN_003","V_f0.45um",2015-09-28 11:15:00,0.961,"ICP-MS 2008/2016"
"42",3851,"Agglomération Nantaise","AN_003","Sr_f0.45um",2015-09-28 11:15:00,0.156,"ICP-OES-1"
"43",3854,"Agglomération Nantaise","AN_003","Ni_f0.45um",2015-09-28 11:15:00,2.709,"ICP-MS 2008/2016"
"44",3856,"Agglomération Nantaise","AN_003","Mo_f0.45um",2015-09-28 11:15:00,0.005,"ICP-OES-1"
"45",3861,"Agglomération Nantaise","AN_003","Cu_f0.45um",2015-09-28 11:15:00,1.207,"ICP-MS 2008/2016"
"46",3862,"Agglomération Nantaise","AN_003","Cr_f0.45um",2015-09-28 11:15:00,0.334,"ICP-MS 2008/2016"
"47",3867,"Agglomération Nantaise","AN_003","As_f0.45um",2015-09-28 11:15:00,138.7,"ICP-1"
"48",3919,"Agglomération Nantaise","AN_001","As_f0.45um",2015-09-28 09:15:00,1.969,"ICP-1"
"49",3922,"Agglomération Nantaise","AN_001","Zn",2015-09-28 08:15:00,7.5,"ICP-OES-1"
"50",3923,"Agglomération Nantaise","AN_001","V",2015-09-28 08:15:00,0.457,"ICP-MS 2008/2016"
"51",3924,"Agglomération Nantaise","AN_001","Ti",2015-09-28 08:15:00,0.003,"ICP-OES-1"
"52",3925,"Agglomération Nantaise","AN_001","Sr",2015-09-28 08:15:00,0.097,"ICP-OES-1"
