"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"567",36894,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cr",2018-01-31 13:40:00,1.2111,"ICP-MS 2017/20xx-1"
"568",36895,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cu",2018-01-31 13:40:00,7.3615,"ICP-MS 2017/20xx-1"
"569",36900,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Mo",2018-01-31 13:40:00,1.6719,"ICP-MS 2017/20xx-1"
"570",36902,"Écoquartier Bottière-Chesnaie","EcoQUA_015","As_f0.45um",2018-01-31 13:40:00,5.1939,"ICP-MS 2017/20xx-1"
"571",36905,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cd_f0.45um",2018-01-31 13:40:00,0.0354,"ICP-MS 2017/20xx-1"
"572",36906,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Co_f0.45um",2018-01-31 13:40:00,0.2912,"ICP-MS 2017/20xx-1"
"573",36907,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cr_f0.45um",2018-01-31 13:40:00,0.572,"ICP-MS 2017/20xx-1"
"574",36908,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cu_f0.45um",2018-01-31 13:40:00,6.6047,"ICP-MS 2017/20xx-1"
"575",36913,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Mo_f0.45um",2018-01-31 13:40:00,1.6748,"ICP-MS 2017/20xx-1"
"576",36915,"Écoquartier Bottière-Chesnaie","EcoQUA_015","As_F0.45um",2018-01-31 13:40:00,0.091,"ICP-MS 2017/20xx-1"
"577",36918,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cd_F0.45um",2018-01-31 13:40:00,0.0111,"ICP-MS 2017/20xx-1"
"578",36919,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Co_F0.45um",2018-01-31 13:40:00,0.0477,"ICP-MS 2017/20xx-1"
"579",36920,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cr_F0.45um",2018-01-31 13:40:00,0.6391,"ICP-MS 2017/20xx-1"
"580",36921,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cu_F0.45um",2018-01-31 13:40:00,0.7568,"ICP-MS 2017/20xx-1"
"581",36926,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Mo_F0.45um",2018-01-31 13:40:00,-0.0029,"ICP-MS 2017/20xx-1"
"582",36927,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Mo_F0.45um",2018-01-31 13:45:00,0.0083,"ICP-MS 2017/20xx-1"
"583",36932,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Zn_F0.45um",2018-01-31 13:40:00,2.4085,"ICP-MS 2017/20xx-1"
