Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
24/05/201616:00:00;16:00:00;3.879;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201617:00:00;17:00:00;3.448;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201618:00:00;18:00:00;12.174;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201619:00:00;19:00:00;12.948;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201620:00:00;20:00:00;5.982;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201621:00:00;21:00:00;21.647;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201622:00:00;22:00:00;3.360;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201623:00:00;23:00:00;75.211;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201600:00:00;00:00:00;30.313;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201601:00:00;01:00:00;29.631;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201602:00:00;02:00:00;37.043;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201603:00:00;03:00:00;25.865;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201604:00:00;04:00:00;53.891;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201605:00:00;05:00:00;17.210;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201606:00:00;06:00:00;26.235;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201607:00:00;07:00:00;33.568;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201608:00:00;08:00:00;20.549;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201609:00:00;09:00:00;18.583;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201610:00:00;10:00:00;38.433;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201611:00:00;11:00:00;14.795;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201612:00:00;12:00:00;6.179;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201613:00:00;13:00:00;1.442;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201614:00:00;14:00:00;2.390;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201615:00:00;15:00:00;23.930;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201616:00:00;16:00:00;3.226;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201617:00:00;17:00:00;0.134;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201618:00:00;18:00:00;2.806;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201619:00:00;19:00:00;7.044;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201620:00:00;20:00:00;5.773;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201621:00:00;21:00:00;3.220;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201622:00:00;22:00:00;2.471;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
25/05/201623:00:00;23:00:00;1.305;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201600:00:00;00:00:00;0.830;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
